7;RECEITA;Salário;14/04/2024;Forza Horizon 6;300.0
8;RECEITA;Salário;24/04/2024;as;30000.0
10;RECEITA;Salário;06/07/2024;Fundos Imobiliários;300.0
11;RECEITA;Salário;06/08/2024;Fundos Imobiliários;300.0
12;RECEITA;Salário;06/09/2024;Fundos Imobiliários;300.0
13;RECEITA;Salário;06/10/2024;Fundos Imobiliários;300.0
14;RECEITA;Salário;06/11/2024;Fundos Imobiliários;300.0
15;RECEITA;Salário;06/12/2024;Fundos Imobiliários;300.0
16;RECEITA;Salário;06/01/2025;Fundos Imobiliários;300.0
17;RECEITA;Salário;06/02/2025;Fundos Imobiliários;300.0
18;RECEITA;Salário;06/03/2025;Fundos Imobiliários;300.0
19;RECEITA;Salário;06/04/2025;Fundos Imobiliários;300.0
20;DESPESA;Lazer;25/12/2024;Hospedagem + combustível;600.0
21;DESPESA;Saúde;27/12/2024;Exames;150.0
22;DESPESA;Alimentação;15/01/2025;Pizzaria;150.0
23;DESPESA;Alimentação;27/01/2025;Restaurante;170.0
24;DESPESA;Transferência;31/01/2025;pix;40.0
