1;RECEITA;Salário;05/05/2026;;3000.0
2;DESPESA;Transporte;01/05/2026;Onibus para Facudade;5.45
3;DESPESA;Transporte;04/05/2026;Onibus para Facudade;5.45
4;DESPESA;Transporte;05/05/2026;Onibus para Facudade;5.45
5;DESPESA;Transporte;06/05/2026;Onibus para Facudade;5.45
6;DESPESA;Transporte;07/05/2026;Onibus para Facudade;5.45
7;DESPESA;Transporte;08/05/2026;Onibus para Facudade;5.45
8;DESPESA;Transporte;11/05/2026;Onibus para Facudade;5.45
9;DESPESA;Transporte;12/05/2026;Onibus para Facudade;5.45
10;DESPESA;Transporte;13/05/2026;Onibus para Facudade;5.45
11;DESPESA;Transporte;14/05/2026;Onibus para Facudade;5.45
12;DESPESA;Transporte;15/05/2026;Onibus para Facudade;5.45
13;DESPESA;Transporte;18/05/2026;Onibus para Facudade;5.45
14;DESPESA;Transporte;19/05/2026;Onibus para Facudade;5.45
15;DESPESA;Transporte;20/05/2026;Onibus para Facudade;5.45
16;DESPESA;Transporte;21/05/2026;Onibus para Facudade;5.45
17;DESPESA;Transporte;22/05/2026;Onibus para Facudade;5.45
18;DESPESA;Transporte;25/05/2026;Onibus para Facudade;5.45
19;DESPESA;Transporte;26/05/2026;Onibus para Facudade;5.45
20;DESPESA;Transporte;27/05/2026;Onibus para Facudade;5.45
21;DESPESA;Transporte;28/05/2026;Onibus para Facudade;5.45
22;DESPESA;Transporte;29/05/2026;Onibus para Facudade;5.45
23;DESPESA;Transferência;23/05/2026;Uber para praia;23.0
24;DESPESA;Transferência;24/05/2026;Uber para casa;26.0
25;DESPESA;Alimentação;23/05/2026;Açai com a namorada;75.43
26;DESPESA;Lazer;23/04/2026;Bikes alugadas;40.0
27;DESPESA;Outros;16/05/2026;Buquê de 12 Rosas Vermelhas;159.9
28;DESPESA;Alimentação;16/05/2026;Jantar no Rock & Ribs Lounge;350.0
29;DESPESA;Contas;09/05/2026;Conta de luz;416.32
30;DESPESA;Alimentação;17/05/2026;Feira do mês;512.87
31;RECEITA;Investimentos;05/05/2026;Fundos imobiliário;300.5
32;DESPESA;Saúde;21/05/2026;Exame medico e físico;82.81
33;DESPESA;Alimentação;10/05/2026;Pizzar;150.0
